datetime,from,open,max,min,close,volume,range,range_pct
2026-01-06 11:14:00,1767698040,1.170695,1.170785,1.17068,1.170715,173,0.00010500000000002174,0.008968877993364887
2026-01-06 11:15:00,1767698100,1.17072,1.17075,1.17071,1.17073,136,4.0000000000040004e-05,0.0034166716493162384
2026-01-06 11:16:00,1767698160,1.17072,1.17079,1.17066,1.170765,169,0.00012999999999996348,0.011103850900903553
2026-01-06 11:17:00,1767698220,1.170755,1.170765,1.170655,1.17066,178,0.0001100000000000545,0.00939640886338087
2026-01-06 11:18:00,1767698280,1.17066,1.170725,1.170605,1.170685,189,0.00012000000000012001,0.010250408948617264
2026-01-06 11:19:00,1767698340,1.17068,1.170695,1.17056,1.17057,172,0.00013499999999999623,0.011532842973935453
2026-01-06 11:20:00,1767698400,1.17056,1.17062,1.17051,1.17052,134,0.0001100000000000545,0.009397532720504947
2026-01-06 11:21:00,1767698460,1.17052,1.17082,1.17047,1.170815,165,0.0003500000000000725,0.02989370652067769
2026-01-06 11:22:00,1767698520,1.17081,1.170975,1.17081,1.170965,226,0.00016500000000019277,0.014090942086244488
2026-01-06 11:23:00,1767698580,1.170955,1.17102,1.170845,1.17094,183,0.00017500000000003624,0.014945257656245086
2026-01-06 11:24:00,1767698640,1.170945,1.170955,1.1709,1.170915,119,5.499999999991623e-05,0.0046971812642178324
2026-01-06 11:25:00,1767698700,1.170905,1.170915,1.170725,1.17082,179,0.00018999999999991246,0.016227942809305652
2026-01-06 11:26:00,1767698760,1.17081,1.17087,1.170725,1.17078,207,0.00014500000000006175,0.012384905789308133
2026-01-06 11:27:00,1767698820,1.17079,1.170845,1.170705,1.170735,161,0.00013999999999980695,0.011958299700598935
2026-01-06 11:28:00,1767698880,1.17073,1.170845,1.170715,1.17081,142,0.00012999999999996348,0.011103424125175176
2026-01-06 11:29:00,1767698940,1.170815,1.170965,1.170815,1.170895,144,0.0001500000000000945,0.012810713172410379
2026-01-06 11:30:00,1767699000,1.170895,1.170995,1.170815,1.17099,129,0.000180000000000069,0.015371608638849947
2026-01-06 11:31:00,1767699060,1.17099,1.17099,1.17083,1.17089,179,0.00015999999999993797,0.013664819069249715
2026-01-06 11:32:00,1767699120,1.17089,1.170955,1.17087,1.170955,173,8.499999999989072e-05,0.007259032157503125
2026-01-06 11:33:00,1767699180,1.170955,1.170965,1.170815,1.170825,170,0.0001500000000000945,0.012811479085268463
2026-01-06 11:34:00,1767699240,1.17083,1.17092,1.17079,1.170905,166,0.00012999999999996348,0.011102523261918214
2026-01-06 11:35:00,1767699300,1.17091,1.171005,1.170895,1.170955,167,0.0001100000000000545,0.00939404161560901
2026-01-06 11:36:00,1767699360,1.17096,1.171095,1.170955,1.171085,168,0.000140000000000029,0.011954725745785233
2026-01-06 11:37:00,1767699420,1.171085,1.1711,1.170965,1.17099,154,0.00013499999999999623,0.01152870647913272
2026-01-06 11:38:00,1767699480,1.170995,1.17101,1.17085,1.17085,154,0.00016000000000016001,0.013665285903417177
2026-01-06 11:39:00,1767699540,1.17085,1.170955,1.17085,1.17094,160,0.00010500000000002174,0.008967154593747053
2026-01-06 11:40:00,1767699600,1.17094,1.17095,1.170835,1.170845,121,0.00011499999999986521,0.009821966186802285
2026-01-06 11:41:00,1767699660,1.170845,1.170895,1.17079,1.170895,98,0.00010500000000002174,0.008967499220683472
2026-01-06 11:42:00,1767699720,1.170905,1.170905,1.17075,1.170785,123,0.00015500000000012726,0.013238980683910988
