timestamp,open,close,min,max,volume
1767371470,1.174745,1.174695,1.174655,1.174795,0
1767371475,1.174665,1.174765,1.174665,1.174765,0
1767371480,1.174775,1.174845,1.174755,1.174875,0
1767371485,1.174835,1.174925,1.174825,1.174935,0
1767371490,1.174945,1.174655,1.174655,1.174975,0
1767371495,1.174705,1.174525,1.174515,1.174705,0
1767371500,1.174475,1.174615,1.174445,1.174625,0
1767371505,1.174565,1.174415,1.174395,1.174565,0
1767371510,1.174385,1.174445,1.174355,1.174505,0
1767371515,1.174465,1.174525,1.174335,1.174525,0
1767371520,1.174505,1.174325,1.174275,1.174545,0
1767371525,1.174315,1.174265,1.174265,1.174355,0
1767371530,1.174275,1.174165,1.174165,1.174325,0
1767371535,1.174215,1.174195,1.174125,1.174255,0
1767371540,1.174175,1.173955,1.173895,1.174185,0
1767371545,1.173965,1.174075,1.173965,1.174085,0
1767371550,1.174065,1.173915,1.173855,1.174065,0
1767371555,1.173875,1.173875,1.173845,1.173995,0
1767371560,1.173885,1.173855,1.173835,1.173965,0
1767371565,1.173835,1.173835,1.173785,1.173895,0
1767371570,1.173845,1.173755,1.173685,1.173845,0
1767371575,1.173775,1.173845,1.173775,1.173925,0
1767371580,1.173865,1.173865,1.173745,1.173875,0
1767371585,1.173895,1.173915,1.173845,1.173945,0
1767371590,1.173925,1.174045,1.173925,1.174065,0
1767371595,1.174025,1.173735,1.173735,1.174025,0
1767371600,1.173725,1.173745,1.173615,1.173765,0
1767371605,1.173755,1.173965,1.173695,1.173965,0
1767371610,1.173935,1.174105,1.173895,1.174115,0
1767371615,1.174115,1.174155,1.174055,1.174165,0
1767371620,1.174185,1.174285,1.174185,1.174355,0
1767371625,1.174295,1.174205,1.174205,1.174315,0
1767371630,1.174215,1.174085,1.174085,1.174285,0
1767371635,1.174105,1.174305,1.174095,1.174335,0
1767371640,1.174295,1.174435,1.174255,1.174455,0
1767371645,1.174405,1.174585,1.174405,1.174585,0
1767371650,1.174625,1.174885,1.174525,1.174885,0
1767371655,1.174905,1.175015,1.174875,1.175055,0
1767371660,1.175025,1.175135,1.175005,1.175185,0
1767371665,1.175185,1.175325,1.175185,1.175325,0
1767371670,1.175355,1.175185,1.175155,1.175355,0
1767371675,1.175155,1.175175,1.175145,1.175175,0
1767371680,1.175205,1.174895,1.174895,1.175205,0
1767371685,1.174845,1.174795,1.174725,1.174845,0
1767371690,1.174765,1.174625,1.174575,1.174825,0
1767371695,1.174585,1.174795,1.174585,1.174895,0
1767371700,1.174805,1.174775,1.174745,1.174855,0
1767371705,1.174765,1.174835,1.174635,1.174885,0
1767371710,1.174885,1.174795,1.174795,1.174895,0
1767371715,1.174835,1.174715,1.174705,1.174835,0
1767371720,1.174695,1.174595,1.174535,1.174695,0
1767371725,1.174585,1.174615,1.174515,1.174645,0
1767371730,1.174605,1.174675,1.174605,1.174735,0
1767371735,1.174655,1.174725,1.174635,1.174765,0
1767371740,1.174765,1.174745,1.174745,1.174815,0
1767371745,1.174765,1.174885,1.174755,1.174885,0
1767371750,1.174925,1.174975,1.174895,1.174975,0
1767371755,1.174995,1.175105,1.174945,1.175105,0
1767371760,1.175135,1.175045,1.175045,1.175145,0
1767371765,1.175065,1.175205,1.175065,1.175205,0
1767371770,1.175245,1.175235,1.175215,1.175275,0
1767371775,1.175175,1.175105,1.175025,1.175195,0
1767371780,1.175075,1.175045,1.174915,1.175075,0
1767371785,1.175055,1.175135,1.175045,1.175225,0
1767371790,1.175115,1.175215,1.174985,1.175215,0
1767371795,1.175305,1.175245,1.175185,1.175305,0
1767371800,1.175255,1.175445,1.175255,1.175485,0
1767371805,1.175475,1.175535,1.175455,1.175565,0
1767371810,1.175545,1.175475,1.175455,1.175625,0
1767371815,1.175455,1.175525,1.175455,1.175555,0
1767371820,1.175505,1.175255,1.175255,1.175505,0
1767371825,1.175285,1.175215,1.175195,1.175315,0
1767371830,1.175235,1.175385,1.175095,1.175395,0
1767371835,1.175395,1.175245,1.175245,1.175425,0
1767371840,1.175295,1.175315,1.175195,1.175355,0
