time,action,confidence,entry,exit,result,pl,range_pct
2026-01-06 11:59:00+00:00,PUT,70,1.17062,1.1708,LOSS,-4000,0.04014966428046424
2026-01-06 12:14:00+00:00,CALL,70,1.171195,1.17117,LOSS,-4000,0.04909515494857749
2026-01-06 12:29:00+00:00,PUT,70,1.170645,1.17052,WIN,3400,0.05424360075002783
2026-01-06 12:44:00+00:00,PUT,70,1.170235,1.170345,LOSS,-4000,0.07178045435318137
2026-01-06 13:14:00+00:00,CALL,70,1.170705,1.170615,LOSS,-4000,0.10250233833460093
2026-01-06 14:29:00+00:00,PUT,70,1.170535,1.170255,WIN,3400,0.10038144950812458
